TestTime,Result,Cooked,PeakdB,CookedVPtime,RefVPTime,CookedTime/RefTime*100%,VPList,CookedTime,RefTime,Cooked/RefTime*100%,VRRestult,CookVLen,RefVLen
2018-05-11-18-10-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_11_18_10_00\capaec0.pcm,-6,9917,12036,82.394483217,[(404916 45 -41) (441268 581 -8) (505266 14 -46) (549416 16 -44) (590139 517 -8) (666205 59 -38) (684938 253 -13) (791634 284 -35) (912247 434 -6) (1052609 360 -17) (1151195 193 -23) (1211437 97 -45) (1232704 367 -17) (1333113 109 -36) (1426447 1900 -9) (1563138 484 -6) (1596572 1178 -6) (1665208 46 -45) (1707405 1536 -6) (1793464 54 -39) (1821150 1348 -7) (1901705 42 -43)],6666,8576,77.7285447761,行行行有呢有见了我我当场一只是我亚菊,18,52
2018-05-11-18-11-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_11_18_11_00\capaec1.pcm,-5,10433,12036,86.6816218013,[(404637 39 -42) (435205 578 -8) (504044 22 -42) (574378 675 -25) (665686 54 -38) (678274 301 -36) (768619 21 -47) (781331 271 -5) (905342 386 -10) (1038717 148 -36) (1142213 116 -22) (1210525 569 -8) (1332226 61 -37) (1416084 2074 -6) (1552191 739 -7) (1599355 920 -6) (1654643 27 -38) (1703129 1719 -6) (1810620 1713 -8)],5672,8576,66.1380597015,行从西进了我的通常一种自我与背影,16,52
2018-05-11-18-12-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_11_18_12_00\capaec2.pcm,-6,10096,12036,83.8816882685,[(404694 41 -41) (435400 519 -7) (504696 37 -41) (548837 12 -47) (579370 405 -25) (665471 59 -41) (678562 301 -36) (769143 14 -47) (781704 276 -6) (905878 361 -12) (1039198 189 -38) (1142685 142 -19) (1211519 693 -7) (1333347 42 -44) (1416910 2076 -6) (1552955 776 -7) (1600069 901 -6) (1703328 1721 -7) (1811199 1531 -9)],5997,8576,69.9277052239,行行如西进了我的换成一种是我讲与背影,18,52
2018-05-11-18-13-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_11_18_13_00\capaec3.pcm,-6,9799,12036,81.4140910602,[(404723 63 -40) (435476 612 -8) (505136 30 -44) (579388 627 -28) (665160 68 -36) (678843 89 -36) (781799 274 -6) (905545 399 -10) (1039087 202 -36) (1142762 136 -18) (1226349 266 -16) (1332320 84 -37) (1416853 2075 -8) (1554501 747 -6) (1600089 896 -6) (1703849 1713 -6) (1812341 1518 -8)],6060,8576,70.6623134328,行用从有进了我的王成一种自我与背影,17,52
2018-05-11-18-14-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_11_18_14_00\capaec4.pcm,-6,9908,12036,82.319707544,[(405700 24 -44) (435732 586 -7) (549963 0 -49) (574760 662 -28) (667444 26 -49) (679326 0 -47) (750659 32 -45) (768945 20 -48) (783153 258 -6) (907175 351 -10) (936649 0 -47) (1039787 215 -37) (1143657 142 -18) (1211753 38 -48) (1224270 511 -8) (1332939 127 -38) (1417646 2046 -9) (1555264 752 -7) (1601192 919 -6) (1704579 1697 -6) (1813427 1502 -8)],6134,8576,71.5251865672,赢有从只进了我的王成勇只是我与背影,17,52
2018-05-11-18-15-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_11_18_15_00\capaec5.pcm,-6,10126,12036,84.1309405118,[(406489 9 -45) (435649 609 -8) (549941 1 -49) (574280 682 -26) (666102 562 -36) (768696 29 -43) (781597 270 -6) (905242 373 -11) (1038757 192 -36) (1142689 121 -19) (1213212 517 -8) (1248472 5 -48) (1332352 73 -35) (1417405 1840 -6) (1515688 16 -40) (1552614 722 -9) (1599694 910 -6) (1703891 1636 -7) (1810887 1559 -8) (2102875 0 -49)],5822,8576,67.8871268657,赢用西那我就完成一种自我小与背影,16,52
2018-05-11-18-16-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_11_18_16_00\capaec6.pcm,-6,10419,12036,86.5653040877,[(135331 43 -45) (405164 71 -41) (435279 628 -8) (505082 40 -42) (549123 21 -43) (579602 576 -20) (665856 39 -43) (678960 277 -31) (781869 271 -6) (906350 373 -10) (1039404 36 -38) (1142730 142 -19) (1212024 558 -7) (1333826 479 -37) (1416608 2082 -7) (1554731 685 -6) (1600371 894 -6) (1703757 1670 -6) (1811337 1534 -9)],6065,8576,70.7206156716,行行从行那我的换成一种自我小与背影,17,52
2018-05-11-18-17-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_11_18_17_00\capaec7.pcm,-6,10722,12036,89.0827517448,[(80 143 -43) (178458 0 -49) (405632 78 -42) (435946 615 -7) (505545 17 -40) (549951 13 -43) (574692 683 -27) (666885 559 -38) (782711 260 -6) (906767 362 -11) (936331 23 -34) (1039953 161 -36) (1143492 136 -24) (1211517 587 -7) (1333223 111 -35) (1417548 2076 -8) (1554295 556 -7) (1600539 914 -6) (1704564 1719 -6) (1811845 1543 -8) (2009745 166 -43)],6109,8576,71.2336753731,行行如进了我的王成一种自我与背影,16,52
2018-05-11-18-18-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_11_18_18_00\capaec8.pcm,-6,10042,12036,83.4330342306,[(404916 31 -41) (434629 618 -8) (548989 10 -47) (579190 713 -26) (665213 54 -43) (678185 128 -37) (781464 267 -6) (905705 375 -11) (935441 18 -39) (1038653 191 -36) (1068125 2 -49) (1141902 144 -21) (1210407 801 -8) (1331884 66 -37) (1416234 2073 -7) (1558176 403 -6) (1589461 11 -47) (1599986 897 -6) (1703652 1687 -6) (1810269 1553 -8)],5936,8576,69.2164179104,行用如西进了我的换成一种自我小与背影,18,52
2018-05-11-18-19-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_11_18_19_00\capaec9.pcm,-6,10158,12036,84.3968095713,[(403849 48 -41) (434250 583 -7) (503377 31 -40) (580144 560 -25) (664755 407 -39) (781567 258 -6) (905204 640 -11) (1038564 195 -37) (1142260 128 -20) (1210644 17 -47) (1222349 517 -8) (1331941 56 -41) (1416337 2060 -9) (1552757 559 -6) (1599674 900 -6) (1703032 1686 -7) (1810760 1513 -9)],5991,8576,69.8577425373,赢用从进了我的长城一九自我与背影,16,52
